"Year","GEO","Class of electricity producer","Type of electricity generation","UOM","VALUE","lastmonth"
2018,"Newfoundland and Labrador","Total all classes of electricity producer","Total electricity production from combustible fuels","Megawatt hours",1771895,9
2018,"Newfoundland and Labrador","Total all classes of electricity producer","Wind power turbine","Megawatt hours",209178,9
2018,"Northwest Territories","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",NA,9
2018,"Northwest Territories","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",253920,9
2018,"Northwest Territories","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",NA,9
2018,"Northwest Territories","Electricity producers, electric utilities","Solar","Megawatt hours",291,9
2018,"Northwest Territories","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",416162,9
2018,"Northwest Territories","Electricity producers, electric utilities","Total electricity production from combustible fuels","Megawatt hours",161951,9
2018,"Northwest Territories","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",0,9
2018,"Northwest Territories","Electricity producers, industries","Combustion turbine","Megawatt hours",NA,9
2018,"Northwest Territories","Electricity producers, industries","Hydraulic turbine","Megawatt hours",NA,9
2018,"Northwest Territories","Electricity producers, industries","Internal combustion turbine","Megawatt hours",NA,9
2018,"Northwest Territories","Electricity producers, industries","Solar","Megawatt hours",15,9
2018,"Northwest Territories","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",338750,9
2018,"Northwest Territories","Electricity producers, industries","Total electricity production from combustible fuels","Megawatt hours",320721,9
2018,"Northwest Territories","Electricity producers, industries","Wind power turbine","Megawatt hours",18014,9
2018,"Northwest Territories","Total all classes of electricity producer","Combustion turbine","Megawatt hours",NA,9
2018,"Northwest Territories","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",253920,9
2018,"Northwest Territories","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",NA,9
2018,"Northwest Territories","Total all classes of electricity producer","Solar","Megawatt hours",306,9
2018,"Northwest Territories","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",754912,9
2018,"Northwest Territories","Total all classes of electricity producer","Total electricity production from combustible fuels","Megawatt hours",482672,9
2018,"Northwest Territories","Total all classes of electricity producer","Wind power turbine","Megawatt hours",18014,9
2018,"Nova Scotia","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",NA,9
2018,"Nova Scotia","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",NA,9
2018,"Nova Scotia","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",921865,9
2018,"Nova Scotia","Electricity producers, electric utilities","Other types of electricity generation","Megawatt hours",0,9
2018,"Nova Scotia","Electricity producers, electric utilities","Solar","Megawatt hours",0,9
2018,"Nova Scotia","Electricity producers, electric utilities","Tidal power turbine","Megawatt hours",19525,9
2018,"Nova Scotia","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",9918887,9
2018,"Nova Scotia","Electricity producers, electric utilities","Total electricity production from combustible fuels","Megawatt hours",7896716,9
2018,"Nova Scotia","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",1080781,9
2018,"Nova Scotia","Electricity producers, industries","Conventional steam turbine","Megawatt hours",NA,9
2018,"Nova Scotia","Electricity producers, industries","Hydraulic turbine","Megawatt hours",NA,9
2018,"Nova Scotia","Electricity producers, industries","Other types of electricity generation","Megawatt hours",0,9
2018,"Nova Scotia","Electricity producers, industries","Solar","Megawatt hours",0,9
2018,"Nova Scotia","Electricity producers, industries","Tidal power turbine","Megawatt hours",0,9
2018,"Nova Scotia","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",290208,9
2018,"Nova Scotia","Electricity producers, industries","Total electricity production from combustible fuels","Megawatt hours",178910,9
2018,"Nova Scotia","Electricity producers, industries","Wind power turbine","Megawatt hours",111298,9
2018,"Nova Scotia","Total all classes of electricity producer","Combustion turbine","Megawatt hours",NA,9
2018,"Nova Scotia","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",NA,9
2018,"Nova Scotia","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",921865,9
2018,"Nova Scotia","Total all classes of electricity producer","Other types of electricity generation","Megawatt hours",0,9
2018,"Nova Scotia","Total all classes of electricity producer","Solar","Megawatt hours",0,9
2018,"Nova Scotia","Total all classes of electricity producer","Tidal power turbine","Megawatt hours",19525,9
2018,"Nova Scotia","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",10209095,9
2018,"Nova Scotia","Total all classes of electricity producer","Total electricity production from combustible fuels","Megawatt hours",8075626,9
2018,"Nova Scotia","Total all classes of electricity producer","Wind power turbine","Megawatt hours",1192079,9
2018,"Nunavut","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",NA,9
2018,"Nunavut","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",0,9
2018,"Nunavut","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",NA,9
2018,"Nunavut","Electricity producers, electric utilities","Solar","Megawatt hours",0,9
2018,"Nunavut","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",192757,9
2018,"Nunavut","Electricity producers, electric utilities","Total electricity production from combustible fuels","Megawatt hours",192757,9
2018,"Nunavut","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",0,9
2018,"Nunavut","Electricity producers, industries","Combustion turbine","Megawatt hours",NA,9
2018,"Nunavut","Electricity producers, industries","Hydraulic turbine","Megawatt hours",NA,9
2018,"Nunavut","Electricity producers, industries","Internal combustion turbine","Megawatt hours",NA,9
2018,"Nunavut","Electricity producers, industries","Solar","Megawatt hours",NA,9
2018,"Nunavut","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",NA,9
2018,"Nunavut","Electricity producers, industries","Total electricity production from combustible fuels","Megawatt hours",NA,9
2018,"Nunavut","Electricity producers, industries","Wind power turbine","Megawatt hours",NA,9
2018,"Nunavut","Total all classes of electricity producer","Combustion turbine","Megawatt hours",NA,9
2018,"Nunavut","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",0,9
2018,"Nunavut","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",NA,9
2018,"Nunavut","Total all classes of electricity producer","Solar","Megawatt hours",0,9
2018,"Nunavut","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",192757,9
2018,"Nunavut","Total all classes of electricity producer","Total electricity production from combustible fuels","Megawatt hours",192757,9
2018,"Nunavut","Total all classes of electricity producer","Wind power turbine","Megawatt hours",0,9
2018,"Ontario","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",NA,9
2018,"Ontario","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",NA,9
2018,"Ontario","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",37172035,9
2018,"Ontario","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",NA,9
2018,"Ontario","Electricity producers, electric utilities","Nuclear steam turbine","Megawatt hours",90155270,9
2018,"Ontario","Electricity producers, electric utilities","Other types of electricity generation","Megawatt hours",0,9
2018,"Ontario","Electricity producers, electric utilities","Solar","Megawatt hours",1768005,9
2018,"Ontario","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",150532560,9
2018,"Ontario","Electricity producers, electric utilities","Total electricity production from combustible fuels","Megawatt hours",10356125,9
2018,"Ontario","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",11081125,9
2018,"Ontario","Electricity producers, industries","Combustion turbine","Megawatt hours",NA,9
2018,"Ontario","Electricity producers, industries","Conventional steam turbine","Megawatt hours",NA,9
2018,"Ontario","Electricity producers, industries","Hydraulic turbine","Megawatt hours",515878,9
2018,"Ontario","Electricity producers, industries","Internal combustion turbine","Megawatt hours",NA,9
2018,"Ontario","Electricity producers, industries","Other types of electricity generation","Megawatt hours",0,9
2018,"Ontario","Electricity producers, industries","Solar","Megawatt hours",408587,9
2018,"Ontario","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",4094055,9
2018,"Ontario","Electricity producers, industries","Total electricity production from combustible fuels","Megawatt hours",2996962,9
2018,"Ontario","Electricity producers, industries","Wind power turbine","Megawatt hours",172628,9
2018,"Ontario","Total all classes of electricity producer","Combustion turbine","Megawatt hours",NA,9
2018,"Ontario","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",NA,9
2018,"Ontario","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",37687913,9
2018,"Ontario","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",NA,9
2018,"Ontario","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours",90155270,9
2018,"Ontario","Total all classes of electricity producer","Other types of electricity generation","Megawatt hours",0,9
2018,"Ontario","Total all classes of electricity producer","Solar","Megawatt hours",2176592,9
2018,"Ontario","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",154626615,9
2018,"Ontario","Total all classes of electricity producer","Total electricity production from combustible fuels","Megawatt hours",13353087,9
2018,"Ontario","Total all classes of electricity producer","Wind power turbine","Megawatt hours",11253753,9
2018,"Prince Edward Island","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",NA,9
2018,"Prince Edward Island","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",NA,9
2018,"Prince Edward Island","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",0,9
2018,"Prince Edward Island","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",NA,9
2018,"Prince Edward Island","Electricity producers, electric utilities","Other types of electricity generation","Megawatt hours",0,9
2018,"Prince Edward Island","Electricity producers, electric utilities","Solar","Megawatt hours",262,9
2018,"Prince Edward Island","Electricity producers, electric utilities","Tidal power turbine","Megawatt hours",0,9
2018,"Prince Edward Island","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",643556,9
2018,"Prince Edward Island","Electricity producers, electric utilities","Total electricity production from combustible fuels","Megawatt hours",2474,9
2018,"Prince Edward Island","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",640820,9
2018,"Prince Edward Island","Electricity producers, industries","Other types of electricity generation","Megawatt hours",0,9
2018,"Prince Edward Island","Electricity producers, industries","Solar","Megawatt hours",0,9
2018,"Prince Edward Island","Electricity producers, industries","Tidal power turbine","Megawatt hours",0,9
2018,"Prince Edward Island","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",17999,9
2018,"Prince Edward Island","Electricity producers, industries","Total electricity production from combustible fuels","Megawatt hours",17999,9
2018,"Prince Edward Island","Electricity producers, industries","Wind power turbine","Megawatt hours",0,9
2018,"Prince Edward Island","Total all classes of electricity producer","Combustion turbine","Megawatt hours",NA,9
2018,"Prince Edward Island","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",NA,9
2018,"Prince Edward Island","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",0,9
2018,"Prince Edward Island","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",NA,9
2018,"Prince Edward Island","Total all classes of electricity producer","Other types of electricity generation","Megawatt hours",0,9
2018,"Prince Edward Island","Total all classes of electricity producer","Solar","Megawatt hours",262,9
2018,"Prince Edward Island","Total all classes of electricity producer","Tidal power turbine","Megawatt hours",0,9
2018,"Prince Edward Island","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",661555,9
2018,"Prince Edward Island","Total all classes of electricity producer","Total electricity production from combustible fuels","Megawatt hours",20473,9
2018,"Prince Edward Island","Total all classes of electricity producer","Wind power turbine","Megawatt hours",640820,9
2018,"Quebec","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",NA,9
2018,"Quebec","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",NA,9
2018,"Quebec","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",180359963,9
2018,"Quebec","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",NA,9
2018,"Quebec","Electricity producers, electric utilities","Nuclear steam turbine","Megawatt hours",NA,9
2018,"Quebec","Electricity producers, electric utilities","Other types of electricity generation","Megawatt hours",0,9
2018,"Quebec","Electricity producers, electric utilities","Solar","Megawatt hours",1513,9
2018,"Quebec","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",191692683,9
2018,"Quebec","Electricity producers, electric utilities","Total electricity production from combustible fuels","Megawatt hours",1084009,9
2018,"Quebec","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",10247198,9
2018,"Quebec","Electricity producers, industries","Conventional steam turbine","Megawatt hours",NA,9
2018,"Quebec","Electricity producers, industries","Hydraulic turbine","Megawatt hours",20647530,9
2018,"Quebec","Electricity producers, industries","Internal combustion turbine","Megawatt hours",NA,9
2018,"Quebec","Electricity producers, industries","Other types of electricity generation","Megawatt hours",0,9
2018,"Quebec","Electricity producers, industries","Solar","Megawatt hours",0,9
2018,"Quebec","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",22169772,9
2018,"Quebec","Electricity producers, industries","Total electricity production from combustible fuels","Megawatt hours",1128193,9
2018,"Quebec","Electricity producers, industries","Wind power turbine","Megawatt hours",394049,9
2018,"Quebec","Total all classes of electricity producer","Combustion turbine","Megawatt hours",NA,9
2018,"Quebec","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",NA,9
2018,"Quebec","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",201007493,9
2018,"Quebec","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",NA,9
2018,"Quebec","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours",NA,9
2018,"Quebec","Total all classes of electricity producer","Other types of electricity generation","Megawatt hours",0,9
2018,"Quebec","Total all classes of electricity producer","Solar","Megawatt hours",1513,9
2018,"Quebec","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",213862455,9
2018,"Quebec","Total all classes of electricity producer","Total electricity production from combustible fuels","Megawatt hours",2212202,9
2018,"Quebec","Total all classes of electricity producer","Wind power turbine","Megawatt hours",10641247,9
2018,"Saskatchewan","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",NA,9
2018,"Saskatchewan","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",NA,9
2018,"Saskatchewan","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",3546900,9
2018,"Saskatchewan","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",NA,9
2018,"Saskatchewan","Electricity producers, electric utilities","Other types of electricity generation","Megawatt hours",0,9
2018,"Saskatchewan","Electricity producers, electric utilities","Solar","Megawatt hours",0,9
2018,"Saskatchewan","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",24210686,9
2018,"Saskatchewan","Electricity producers, electric utilities","Total electricity production from combustible fuels","Megawatt hours",19969242,9
2018,"Saskatchewan","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",694544,9
2018,"Saskatchewan","Electricity producers, industries","Conventional steam turbine","Megawatt hours",NA,9
2018,"Saskatchewan","Electricity producers, industries","Hydraulic turbine","Megawatt hours",NA,9
2018,"Saskatchewan","Electricity producers, industries","Internal combustion turbine","Megawatt hours",NA,9
2018,"Saskatchewan","Electricity producers, industries","Other types of electricity generation","Megawatt hours",0,9
2018,"Saskatchewan","Electricity producers, industries","Solar","Megawatt hours",0,9
2018,"Saskatchewan","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",323104,9
2018,"Saskatchewan","Electricity producers, industries","Total electricity production from combustible fuels","Megawatt hours",323104,9
2018,"Saskatchewan","Electricity producers, industries","Wind power turbine","Megawatt hours",0,9
2018,"Saskatchewan","Total all classes of electricity producer","Combustion turbine","Megawatt hours",NA,9
2018,"Saskatchewan","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",NA,9
2018,"Saskatchewan","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",3546900,9
2018,"Saskatchewan","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",NA,9
2018,"Saskatchewan","Total all classes of electricity producer","Other types of electricity generation","Megawatt hours",0,9
2018,"Saskatchewan","Total all classes of electricity producer","Solar","Megawatt hours",0,9
2018,"Saskatchewan","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",24533790,9
2018,"Saskatchewan","Total all classes of electricity producer","Total electricity production from combustible fuels","Megawatt hours",20292346,9
2018,"Saskatchewan","Total all classes of electricity producer","Wind power turbine","Megawatt hours",694544,9
2018,"Yukon","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",NA,9
2018,"Yukon","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",421973,9
2018,"Yukon","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",NA,9
2018,"Yukon","Electricity producers, electric utilities","Other types of electricity generation","Megawatt hours",0,9
2018,"Yukon","Electricity producers, electric utilities","Solar","Megawatt hours",0,9
2018,"Yukon","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",482202,9
2018,"Yukon","Electricity producers, electric utilities","Total electricity production from combustible fuels","Megawatt hours",60229,9
2018,"Yukon","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",0,9
2018,"Yukon","Electricity producers, industries","Internal combustion turbine","Megawatt hours",NA,9
2018,"Yukon","Electricity producers, industries","Solar","Megawatt hours",NA,9
2018,"Yukon","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",NA,9
2018,"Yukon","Electricity producers, industries","Total electricity production from combustible fuels","Megawatt hours",NA,9
2018,"Yukon","Electricity producers, industries","Wind power turbine","Megawatt hours",NA,9
2018,"Yukon","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",NA,9
2018,"Yukon","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",421973,9
2018,"Yukon","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",NA,9
2018,"Yukon","Total all classes of electricity producer","Other types of electricity generation","Megawatt hours",0,9
2018,"Yukon","Total all classes of electricity producer","Solar","Megawatt hours",0,9
2018,"Yukon","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",482202,9
2018,"Yukon","Total all classes of electricity producer","Total electricity production from combustible fuels","Megawatt hours",60229,9
2018,"Yukon","Total all classes of electricity producer","Wind power turbine","Megawatt hours",0,9
2019,"Alberta","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",NA,9
2019,"Alberta","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",NA,9
2019,"Alberta","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",2543055,9
2019,"Alberta","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",NA,9
2019,"Alberta","Electricity producers, electric utilities","Other types of electricity generation","Megawatt hours",48427,9
2019,"Alberta","Electricity producers, electric utilities","Solar","Megawatt hours",20600,9
2019,"Alberta","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",63984729,9
2019,"Alberta","Electricity producers, electric utilities","Total electricity production from combustible fuels","Megawatt hours",57339958,9
2019,"Alberta","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",4032689,9
2019,"Alberta","Electricity producers, industries","Combustion turbine","Megawatt hours",NA,9
2019,"Alberta","Electricity producers, industries","Conventional steam turbine","Megawatt hours",NA,9
2019,"Alberta","Electricity producers, industries","Hydraulic turbine","Megawatt hours",0,9
2019,"Alberta","Electricity producers, industries","Internal combustion turbine","Megawatt hours",NA,9
2019,"Alberta","Electricity producers, industries","Other types of electricity generation","Megawatt hours",0,9
2019,"Alberta","Electricity producers, industries","Solar","Megawatt hours",2649,9
2019,"Alberta","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",17588141,9
2019,"Alberta","Electricity producers, industries","Total electricity production from combustible fuels","Megawatt hours",17581481,9
2019,"Alberta","Electricity producers, industries","Wind power turbine","Megawatt hours",4011,9
2019,"Alberta","Total all classes of electricity producer","Combustion turbine","Megawatt hours",NA,9
2019,"Alberta","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",NA,9
2019,"Alberta","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",2543055,9
2019,"Alberta","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",NA,9
2019,"Alberta","Total all classes of electricity producer","Other types of electricity generation","Megawatt hours",48427,9
2019,"Alberta","Total all classes of electricity producer","Solar","Megawatt hours",23249,9
2019,"Alberta","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",81572870,9
2019,"Alberta","Total all classes of electricity producer","Total electricity production from combustible fuels","Megawatt hours",74921439,9
2019,"Alberta","Total all classes of electricity producer","Wind power turbine","Megawatt hours",4036700,9
2019,"British Columbia","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",NA,9
2019,"British Columbia","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",NA,9
2019,"British Columbia","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",48298631,9
2019,"British Columbia","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",NA,9
2019,"British Columbia","Electricity producers, electric utilities","Other types of electricity generation","Megawatt hours",0,9
2019,"British Columbia","Electricity producers, electric utilities","Solar","Megawatt hours",1504,9
2019,"British Columbia","Electricity producers, electric utilities","Tidal power turbine","Megawatt hours",0,9
2019,"British Columbia","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",51996799,9
2019,"British Columbia","Electricity producers, electric utilities","Total electricity production from combustible fuels","Megawatt hours",2232517,9
2019,"British Columbia","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",1464147,9
2019,"British Columbia","Electricity producers, industries","Combustion turbine","Megawatt hours",NA,9
2019,"British Columbia","Electricity producers, industries","Conventional steam turbine","Megawatt hours",NA,9
2019,"British Columbia","Electricity producers, industries","Hydraulic turbine","Megawatt hours",7637422,9
2019,"British Columbia","Electricity producers, industries","Internal combustion turbine","Megawatt hours",NA,9
2019,"British Columbia","Electricity producers, industries","Other types of electricity generation","Megawatt hours",0,9
2019,"British Columbia","Electricity producers, industries","Solar","Megawatt hours",0,9
2019,"British Columbia","Electricity producers, industries","Tidal power turbine","Megawatt hours",0,9
2019,"British Columbia","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",11956470,9
2019,"British Columbia","Electricity producers, industries","Total electricity production from combustible fuels","Megawatt hours",4280097,9
2019,"British Columbia","Electricity producers, industries","Wind power turbine","Megawatt hours",38951,9
2019,"British Columbia","Total all classes of electricity producer","Combustion turbine","Megawatt hours",NA,9
2019,"British Columbia","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",NA,9
2019,"British Columbia","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",55936053,9
2019,"British Columbia","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",NA,9
2019,"British Columbia","Total all classes of electricity producer","Other types of electricity generation","Megawatt hours",0,9
2019,"British Columbia","Total all classes of electricity producer","Solar","Megawatt hours",1504,9
2019,"British Columbia","Total all classes of electricity producer","Tidal power turbine","Megawatt hours",0,9
2019,"British Columbia","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",63953269,9
2019,"British Columbia","Total all classes of electricity producer","Total electricity production from combustible fuels","Megawatt hours",6512614,9
2019,"British Columbia","Total all classes of electricity producer","Wind power turbine","Megawatt hours",1503098,9
2019,"Canada","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",NA,9
2019,"Canada","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",NA,9
2019,"Canada","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",350065899,9
2019,"Canada","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",NA,9
2019,"Canada","Electricity producers, electric utilities","Nuclear steam turbine","Megawatt hours",95469256,9
2019,"Canada","Electricity producers, electric utilities","Other types of electricity generation","Megawatt hours",168450,9
2019,"Canada","Electricity producers, electric utilities","Solar","Megawatt hours",2072797,9
2019,"Canada","Electricity producers, electric utilities","Tidal power turbine","Megawatt hours",920,9
2019,"Canada","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",583856496,9
2019,"Canada","Electricity producers, electric utilities","Total electricity production from combustible fuels","Megawatt hours",104000753,9
2019,"Canada","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",32078421,9
2019,"Canada","Electricity producers, industries","Combustion turbine","Megawatt hours",NA,9
2019,"Canada","Electricity producers, industries","Conventional steam turbine","Megawatt hours",NA,9
2019,"Canada","Electricity producers, industries","Hydraulic turbine","Megawatt hours",27575284,9
2019,"Canada","Electricity producers, industries","Internal combustion turbine","Megawatt hours",NA,9
2019,"Canada","Electricity producers, industries","Other types of electricity generation","Megawatt hours",0,9
2019,"Canada","Electricity producers, industries","Solar","Megawatt hours",377063,9
2019,"Canada","Electricity producers, industries","Tidal power turbine","Megawatt hours",0,9
2019,"Canada","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",56534847,9
2019,"Canada","Electricity producers, industries","Total electricity production from combustible fuels","Megawatt hours",27857049,9
2019,"Canada","Electricity producers, industries","Wind power turbine","Megawatt hours",725451,9
2019,"Canada","Total all classes of electricity producer","Combustion turbine","Megawatt hours",NA,9
2019,"Canada","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",NA,9
2019,"Canada","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",377641183,9
2019,"Canada","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",NA,9
2019,"Canada","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours",95469256,9
2019,"Canada","Total all classes of electricity producer","Other types of electricity generation","Megawatt hours",168450,9
2019,"Canada","Total all classes of electricity producer","Solar","Megawatt hours",2449860,9
2019,"Canada","Total all classes of electricity producer","Tidal power turbine","Megawatt hours",920,9
2019,"Canada","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",640391343,9
2019,"Canada","Total all classes of electricity producer","Total electricity production from combustible fuels","Megawatt hours",131857802,9
2019,"Canada","Total all classes of electricity producer","Wind power turbine","Megawatt hours",32803872,9
2019,"Manitoba","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",NA,9
2019,"Manitoba","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",NA,9
2019,"Manitoba","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",32934890,9
2019,"Manitoba","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",NA,9
2019,"Manitoba","Electricity producers, electric utilities","Other types of electricity generation","Megawatt hours",0,9
2019,"Manitoba","Electricity producers, electric utilities","Solar","Megawatt hours",0,9
2019,"Manitoba","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",33836674,9
2019,"Manitoba","Electricity producers, electric utilities","Total electricity production from combustible fuels","Megawatt hours",14986,9
2019,"Manitoba","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",886798,9
2019,"Manitoba","Electricity producers, industries","Conventional steam turbine","Megawatt hours",NA,9
2019,"Manitoba","Electricity producers, industries","Hydraulic turbine","Megawatt hours",0,9
2019,"Manitoba","Electricity producers, industries","Internal combustion turbine","Megawatt hours",NA,9
2019,"Manitoba","Electricity producers, industries","Other types of electricity generation","Megawatt hours",0,9
2019,"Manitoba","Electricity producers, industries","Solar","Megawatt hours",4,9
2019,"Manitoba","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",91194,9
2019,"Manitoba","Electricity producers, industries","Total electricity production from combustible fuels","Megawatt hours",91190,9
2019,"Manitoba","Electricity producers, industries","Wind power turbine","Megawatt hours",0,9
2019,"Manitoba","Total all classes of electricity producer","Combustion turbine","Megawatt hours",NA,9
2019,"Manitoba","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",NA,9
2019,"Manitoba","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",32934890,9
2019,"Manitoba","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",NA,9
2019,"Manitoba","Total all classes of electricity producer","Other types of electricity generation","Megawatt hours",0,9
2019,"Manitoba","Total all classes of electricity producer","Solar","Megawatt hours",4,9
2019,"Manitoba","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",33927868,9
2019,"Manitoba","Total all classes of electricity producer","Total electricity production from combustible fuels","Megawatt hours",106176,9
